WARNING 2025-03-24 15:08:20,271 views Permission denied for test@example.com (role: photographer)
ERROR 2025-03-24 20:38:40,866 views Failed to send email to test5@example.com: name 'send_mail' is not defined
INFO 2025-03-24 20:54:47,956 views Invitation email sent to test5@example.com by owner2@example.com
INFO 2025-03-24 21:00:09,134 views Invitation email sent to test5@example.com by owner2@example.com
INFO 2025-03-24 21:12:42,096 views Invitation email sent to test5@example.com by owner2@example.com
INFO 2025-03-29 20:58:49,153 models Creating collection for project 'Test Project 3' (id=3) with owner_id=5
INFO 2025-03-29 20:58:49,153 models Project 'Test Project 3' (id=3) updated with client_link: http://localhost:8000/api/filesharing/collections/3/client/
INFO 2025-03-31 20:20:53,442 models Creating collection for project 'Test Project' (id=4) with owner_id=5
INFO 2025-03-31 20:20:53,458 models Project 'Test Project' (id=4) updated with client_link: http://localhost:8000/api/filesharing/collections/4/client/
INFO 2025-04-06 21:22:03,124 models Creating collection for project '????? ??????' (id=6) with owner_id=5
INFO 2025-04-06 21:22:03,140 models Project '????? ??????' (id=6) updated with client_link: http://localhost:8000/api/filesharing/collections/6/client/
INFO 2025-04-06 21:28:58,623 models Creating collection for project '????? ?????? 2' (id=7) with owner_id=5
INFO 2025-04-06 21:28:58,623 models Project '????? ?????? 2' (id=7) updated with client_link: http://localhost:8000/api/filesharing/collections/7/client/
INFO 2025-04-06 21:29:42,587 models Creating collection for project '????? ?????? 3' (id=8) with owner_id=5
INFO 2025-04-06 21:29:42,603 models Project '????? ?????? 3' (id=8) updated with client_link: http://localhost:8000/api/filesharing/collections/8/client/
INFO 2025-04-06 22:15:54,496 models Creating collection for project '????? ?????? 4' (id=9) with owner_id=5
INFO 2025-04-06 22:15:54,519 models Project '????? ?????? 4' (id=9) updated with client_link: http://localhost:8000/api/filesharing/collections/9/client/
INFO 2025-04-07 16:48:43,667 models Creating collection for project '????? ?????? 2' (id=10) with owner_id=5
INFO 2025-04-07 16:48:43,676 models Project '????? ?????? 2' (id=10) updated with client_link: http://localhost:8000/api/filesharing/collections/10/client/
INFO 2025-04-07 17:44:17,148 models Creating collection for project '????? ?????? 5' (id=11) with owner_id=5
INFO 2025-04-07 17:44:17,148 models Project '????? ?????? 5' (id=11) updated with client_link: http://localhost:8000/api/filesharing/collections/11/client/
INFO 2025-04-07 17:58:35,310 models Creating collection for project '????? ?????? 6' (id=12) with owner_id=5
INFO 2025-04-07 17:58:35,326 models Project '????? ?????? 6' (id=12) updated with client_link: http://localhost:8000/api/filesharing/collections/12/client/
INFO 2025-04-16 13:27:54,955 views Owner registered successfully: owner3 (ID: 8)
